port,TCP,TCPflag,UDP
540,Cerrado,RA,Cerrado
541,Cerrado,RA,Cerrado
542,Cerrado,RA,Cerrado
543,Cerrado,RA,Cerrado
544,Cerrado,RA,Cerrado
545,Cerrado,RA,Cerrado
546,Cerrado,RA,Cerrado
547,Cerrado,RA,Cerrado
548,Cerrado,RA,Cerrado
549,Cerrado,RA,Cerrado
550,Cerrado,RA,Cerrado
551,Cerrado,RA,Cerrado
552,Cerrado,RA,Cerrado
553,Cerrado,RA,Cerrado
554,Cerrado,RA,Cerrado
555,Cerrado,RA,Cerrado
556,Cerrado,RA,Cerrado
557,Cerrado,RA,Cerrado
558,Cerrado,RA,Cerrado
559,Cerrado,RA,Cerrado
560,Cerrado,RA,Cerrado
561,Cerrado,RA,Cerrado
562,Cerrado,RA,Cerrado
563,Cerrado,RA,Cerrado
564,Cerrado,RA,Cerrado
565,Cerrado,RA,Cerrado
566,Cerrado,RA,Cerrado
567,Cerrado,RA,Cerrado
568,Cerrado,RA,Cerrado
569,Cerrado,RA,Cerrado
570,Cerrado,RA,Cerrado
571,Cerrado,RA,Cerrado
572,Cerrado,RA,Cerrado
573,Cerrado,RA,Cerrado
574,Cerrado,RA,Cerrado
575,Cerrado,RA,Cerrado
576,Cerrado,RA,Cerrado
577,Cerrado,RA,Cerrado
578,Cerrado,RA,Cerrado
579,Cerrado,RA,Cerrado
580,Cerrado,RA,Cerrado
581,Cerrado,RA,Cerrado
582,Cerrado,RA,Cerrado
583,Cerrado,RA,Cerrado
584,Cerrado,RA,Cerrado
585,Cerrado,RA,Cerrado
586,Cerrado,RA,Cerrado
587,Cerrado,RA,Cerrado
588,Cerrado,RA,Cerrado
589,Cerrado,RA,Cerrado
590,Cerrado,RA,Cerrado
591,Cerrado,RA,Cerrado
592,Cerrado,RA,Cerrado
593,Cerrado,RA,Cerrado
594,Cerrado,RA,Cerrado
595,Cerrado,RA,Cerrado
596,Cerrado,RA,Cerrado
597,Cerrado,RA,Cerrado
598,Cerrado,RA,Cerrado
599,Cerrado,RA,Cerrado
600,Cerrado,RA,Cerrado
601,Cerrado,RA,Cerrado
602,Cerrado,RA,Cerrado
603,Cerrado,RA,Cerrado
604,Cerrado,RA,Cerrado
605,Cerrado,RA,Cerrado
606,Cerrado,RA,Cerrado
607,Cerrado,RA,Cerrado
608,Cerrado,RA,Cerrado
609,Cerrado,RA,Cerrado
610,Cerrado,RA,Cerrado
611,Cerrado,RA,Cerrado
612,Cerrado,RA,Cerrado
613,Cerrado,RA,Cerrado
614,Cerrado,RA,Cerrado
615,Cerrado,RA,Cerrado
616,Cerrado,RA,Cerrado
617,Cerrado,RA,Cerrado
618,Cerrado,RA,Cerrado
619,Cerrado,RA,Cerrado
620,Cerrado,RA,Cerrado
621,Cerrado,RA,Cerrado
622,Cerrado,RA,Cerrado
623,Cerrado,RA,Cerrado
624,Cerrado,RA,Cerrado
625,Cerrado,RA,Cerrado
626,Cerrado,RA,Cerrado
627,Cerrado,RA,Cerrado
628,Cerrado,RA,Cerrado
629,Cerrado,RA,Cerrado
630,Cerrado,RA,Abierto | Filtrado
631,Cerrado,RA,Cerrado
632,Cerrado,RA,Cerrado
