port,TCP,TCPflag,UDP
294,Filtrado,none,Abierto | Filtrado
295,Filtrado,none,Abierto | Filtrado
296,Filtrado,none,Abierto | Filtrado
297,Filtrado,none,Abierto | Filtrado
298,Filtrado,none,Abierto | Filtrado
299,Filtrado,none,Abierto | Filtrado
300,Filtrado,none,Abierto | Filtrado
301,Filtrado,none,Abierto | Filtrado
302,Filtrado,none,Abierto | Filtrado
303,Filtrado,none,Abierto | Filtrado
304,Filtrado,none,Abierto | Filtrado
305,Filtrado,none,Abierto | Filtrado
306,Filtrado,none,Abierto | Filtrado
307,Filtrado,none,Abierto | Filtrado
308,Filtrado,none,Abierto | Filtrado
309,Filtrado,none,Abierto | Filtrado
310,Filtrado,none,Abierto | Filtrado
311,Filtrado,none,Abierto | Filtrado
312,Filtrado,none,Abierto | Filtrado
313,Filtrado,none,Abierto | Filtrado
314,Filtrado,none,Abierto | Filtrado
315,Filtrado,none,Abierto | Filtrado
316,Filtrado,none,Abierto | Filtrado
317,Filtrado,none,Abierto | Filtrado
318,Filtrado,none,Abierto | Filtrado
319,Filtrado,none,Abierto | Filtrado
320,Filtrado,none,Abierto | Filtrado
321,Filtrado,none,Abierto | Filtrado
322,Filtrado,none,Abierto | Filtrado
323,Filtrado,none,Abierto | Filtrado
324,Filtrado,none,Abierto | Filtrado
325,Filtrado,none,Abierto | Filtrado
326,Filtrado,none,Abierto | Filtrado
327,Filtrado,none,Abierto | Filtrado
328,Filtrado,none,Abierto | Filtrado
329,Filtrado,none,Abierto | Filtrado
330,Filtrado,none,Abierto | Filtrado
331,Filtrado,none,Abierto | Filtrado
332,Filtrado,none,Abierto | Filtrado
333,Filtrado,none,Abierto | Filtrado
334,Filtrado,none,Abierto | Filtrado
335,Filtrado,none,Abierto | Filtrado
336,Filtrado,none,Abierto | Filtrado
337,Filtrado,none,Abierto | Filtrado
338,Filtrado,none,Abierto | Filtrado
339,Filtrado,none,Abierto | Filtrado
340,Filtrado,none,Abierto | Filtrado
341,Filtrado,none,Abierto | Filtrado
342,Filtrado,none,Abierto | Filtrado
343,Filtrado,none,Abierto | Filtrado
344,Filtrado,none,Abierto | Filtrado
345,Filtrado,none,Abierto | Filtrado
346,Filtrado,none,Abierto | Filtrado
347,Filtrado,none,Abierto | Filtrado
348,Filtrado,none,Abierto | Filtrado
349,Filtrado,none,Abierto | Filtrado
350,Filtrado,none,Abierto | Filtrado
351,Filtrado,none,Abierto | Filtrado
352,Filtrado,none,Abierto | Filtrado
353,Filtrado,none,Abierto | Filtrado
354,Filtrado,none,Abierto | Filtrado
355,Filtrado,none,Abierto | Filtrado
356,Filtrado,none,Abierto | Filtrado
357,Filtrado,none,Abierto | Filtrado
358,Filtrado,none,Abierto | Filtrado
359,Filtrado,none,Abierto | Filtrado
360,Filtrado,none,Abierto | Filtrado
361,Filtrado,none,Abierto | Filtrado
362,Filtrado,none,Abierto | Filtrado
363,Filtrado,none,Abierto | Filtrado
364,Filtrado,none,Abierto | Filtrado
365,Filtrado,none,Abierto | Filtrado
366,Filtrado,none,Abierto | Filtrado
367,Filtrado,none,Abierto | Filtrado
368,Filtrado,none,Abierto | Filtrado
369,Filtrado,none,Abierto | Filtrado
370,Filtrado,none,Abierto | Filtrado
371,Filtrado,none,Abierto | Filtrado
372,Filtrado,none,Abierto | Filtrado
373,Filtrado,none,Abierto | Filtrado
374,Filtrado,none,Abierto | Filtrado
375,Filtrado,none,Abierto | Filtrado
376,Filtrado,none,Abierto | Filtrado
377,Filtrado,none,Abierto | Filtrado
378,Filtrado,none,Abierto | Filtrado
379,Filtrado,none,Abierto | Filtrado
380,Filtrado,none,Abierto | Filtrado
381,Filtrado,none,Abierto | Filtrado
382,Filtrado,none,Abierto | Filtrado
383,Filtrado,none,Abierto | Filtrado
384,Filtrado,none,Abierto | Filtrado
385,Filtrado,none,Abierto | Filtrado
386,Filtrado,none,Abierto | Filtrado
387,Filtrado,none,Abierto | Filtrado
388,Filtrado,none,Abierto | Filtrado
389,Filtrado,none,Abierto | Filtrado
390,Filtrado,none,Abierto | Filtrado
391,Filtrado,none,Abierto | Filtrado
392,Filtrado,none,Abierto | Filtrado
393,Filtrado,none,Abierto | Filtrado
394,Filtrado,none,Abierto | Filtrado
395,Filtrado,none,Abierto | Filtrado
396,Filtrado,none,Abierto | Filtrado
397,Filtrado,none,Abierto | Filtrado
398,Filtrado,none,Abierto | Filtrado
399,Filtrado,none,Abierto | Filtrado
400,Filtrado,none,Abierto | Filtrado
401,Filtrado,none,Abierto | Filtrado
402,Filtrado,none,Abierto | Filtrado
403,Filtrado,none,Abierto | Filtrado
404,Filtrado,none,Abierto | Filtrado
405,Filtrado,none,Abierto | Filtrado
406,Filtrado,none,Abierto | Filtrado
407,Filtrado,none,Abierto | Filtrado
408,Filtrado,none,Abierto | Filtrado
409,Filtrado,none,Abierto | Filtrado
410,Filtrado,none,Abierto | Filtrado
411,Filtrado,none,Abierto | Filtrado
412,Filtrado,none,Abierto | Filtrado
413,Filtrado,none,Abierto | Filtrado
414,Filtrado,none,Abierto | Filtrado
415,Filtrado,none,Abierto | Filtrado
416,Filtrado,none,Abierto | Filtrado
417,Filtrado,none,Abierto | Filtrado
418,Filtrado,none,Abierto | Filtrado
419,Filtrado,none,Abierto | Filtrado
420,Filtrado,none,Abierto | Filtrado
421,Filtrado,none,Abierto | Filtrado
422,Filtrado,none,Abierto | Filtrado
423,Filtrado,none,Abierto | Filtrado
424,Filtrado,none,Abierto | Filtrado
425,Filtrado,none,Abierto | Filtrado
426,Filtrado,none,Abierto | Filtrado
427,Filtrado,none,Abierto | Filtrado
428,Filtrado,none,Abierto | Filtrado
429,Filtrado,none,Abierto | Filtrado
430,Filtrado,none,Abierto | Filtrado
431,Filtrado,none,Abierto | Filtrado
432,Filtrado,none,Abierto | Filtrado
433,Filtrado,none,Abierto | Filtrado
434,Filtrado,none,Abierto | Filtrado
435,Filtrado,none,Abierto | Filtrado
436,Filtrado,none,Abierto | Filtrado
437,Filtrado,none,Abierto | Filtrado
438,Filtrado,none,Abierto | Filtrado
439,Filtrado,none,Abierto | Filtrado
440,Filtrado,none,Abierto | Filtrado
441,Filtrado,none,Abierto | Filtrado
442,Filtrado,none,Abierto | Filtrado
443,Filtrado,none,Abierto | Filtrado
444,Filtrado,none,Abierto | Filtrado
445,Filtrado,none,Abierto | Filtrado
446,Filtrado,none,Abierto | Filtrado
447,Filtrado,none,Abierto | Filtrado
448,Filtrado,none,Abierto | Filtrado
449,Filtrado,none,Abierto | Filtrado
450,Filtrado,none,Abierto | Filtrado
451,Filtrado,none,Abierto | Filtrado
452,Filtrado,none,Abierto | Filtrado
453,Filtrado,none,Abierto | Filtrado
454,Filtrado,none,Abierto | Filtrado
455,Filtrado,none,Abierto | Filtrado
456,Filtrado,none,Abierto | Filtrado
457,Filtrado,none,Abierto | Filtrado
458,Filtrado,none,Abierto | Filtrado
459,Filtrado,none,Abierto | Filtrado
460,Filtrado,none,Abierto | Filtrado
461,Filtrado,none,Abierto | Filtrado
462,Filtrado,none,Abierto | Filtrado
463,Filtrado,none,Abierto | Filtrado
464,Filtrado,none,Abierto | Filtrado
465,Filtrado,none,Abierto | Filtrado
466,Filtrado,none,Abierto | Filtrado
467,Filtrado,none,Abierto | Filtrado
468,Filtrado,none,Abierto | Filtrado
469,Filtrado,none,Abierto | Filtrado
470,Filtrado,none,Abierto | Filtrado
471,Filtrado,none,Abierto | Filtrado
472,Filtrado,none,Abierto | Filtrado
473,Filtrado,none,Abierto | Filtrado
474,Filtrado,none,Abierto | Filtrado
475,Filtrado,none,Abierto | Filtrado
476,Filtrado,none,Abierto | Filtrado
477,Filtrado,none,Abierto | Filtrado
478,Filtrado,none,Abierto | Filtrado
479,Filtrado,none,Abierto | Filtrado
480,Filtrado,none,Abierto | Filtrado
481,Filtrado,none,Abierto | Filtrado
482,Filtrado,none,Abierto | Filtrado
483,Filtrado,none,Abierto | Filtrado
484,Filtrado,none,Abierto | Filtrado
485,Filtrado,none,Abierto | Filtrado
486,Filtrado,none,Abierto | Filtrado
487,Filtrado,none,Abierto | Filtrado
488,Filtrado,none,Abierto | Filtrado
489,Filtrado,none,Abierto | Filtrado
490,Filtrado,none,Abierto | Filtrado
491,Filtrado,none,Abierto | Filtrado
492,Filtrado,none,Abierto | Filtrado
493,Filtrado,none,Abierto | Filtrado
494,Filtrado,none,Abierto | Filtrado
495,Filtrado,none,Abierto | Filtrado
496,Filtrado,none,Abierto | Filtrado
497,Filtrado,none,Abierto | Filtrado
498,Filtrado,none,Abierto | Filtrado
499,Filtrado,none,Abierto | Filtrado
500,Filtrado,none,Abierto | Filtrado
501,Filtrado,none,Abierto | Filtrado
502,Filtrado,none,Abierto | Filtrado
503,Filtrado,none,Abierto | Filtrado
504,Filtrado,none,Abierto | Filtrado
505,Filtrado,none,Abierto | Filtrado
506,Filtrado,none,Abierto | Filtrado
507,Filtrado,none,Abierto | Filtrado
508,Filtrado,none,Abierto | Filtrado
509,Filtrado,none,Abierto | Filtrado
510,Filtrado,none,Abierto | Filtrado
511,Filtrado,none,Abierto | Filtrado
512,Filtrado,none,Abierto | Filtrado
513,Filtrado,none,Abierto | Filtrado
514,Filtrado,none,Abierto | Filtrado
515,Filtrado,none,Abierto | Filtrado
516,Filtrado,none,Abierto | Filtrado
517,Filtrado,none,Abierto | Filtrado
518,Filtrado,none,Abierto | Filtrado
519,Filtrado,none,Abierto | Filtrado
520,Filtrado,none,Abierto | Filtrado
521,Filtrado,none,Abierto | Filtrado
522,Filtrado,none,Abierto | Filtrado
523,Filtrado,none,Abierto | Filtrado
524,Filtrado,none,Abierto | Filtrado
525,Filtrado,none,Abierto | Filtrado
526,Filtrado,none,Abierto | Filtrado
527,Filtrado,none,Abierto | Filtrado
528,Filtrado,none,Abierto | Filtrado
529,Filtrado,none,Abierto | Filtrado
530,Filtrado,none,Abierto | Filtrado
531,Filtrado,none,Abierto | Filtrado
532,Filtrado,none,Abierto | Filtrado
533,Filtrado,none,Abierto | Filtrado
534,Filtrado,none,Abierto | Filtrado
535,Filtrado,none,Abierto | Filtrado
536,Filtrado,none,Abierto | Filtrado
537,Filtrado,none,Abierto | Filtrado
538,Filtrado,none,Abierto | Filtrado
539,Filtrado,none,Abierto | Filtrado
540,Filtrado,none,Abierto | Filtrado
541,Filtrado,none,Abierto | Filtrado
542,Filtrado,none,Abierto | Filtrado
543,Filtrado,none,Abierto | Filtrado
544,Filtrado,none,Abierto | Filtrado
545,Filtrado,none,Abierto | Filtrado
546,Filtrado,none,Abierto | Filtrado
547,Filtrado,none,Abierto | Filtrado
548,Filtrado,none,Abierto | Filtrado
549,Filtrado,none,Abierto | Filtrado
550,Filtrado,none,Abierto | Filtrado
551,Filtrado,none,Abierto | Filtrado
552,Filtrado,none,Abierto | Filtrado
553,Filtrado,none,Abierto | Filtrado
554,Filtrado,none,Abierto | Filtrado
555,Filtrado,none,Abierto | Filtrado
556,Filtrado,none,Abierto | Filtrado
557,Filtrado,none,Abierto | Filtrado
558,Filtrado,none,Abierto | Filtrado
559,Filtrado,none,Abierto | Filtrado
560,Filtrado,none,Abierto | Filtrado
561,Filtrado,none,Abierto | Filtrado
562,Filtrado,none,Abierto | Filtrado
563,Filtrado,none,Abierto | Filtrado
564,Filtrado,none,Abierto | Filtrado
565,Filtrado,none,Abierto | Filtrado
566,Filtrado,none,Abierto | Filtrado
567,Filtrado,none,Abierto | Filtrado
568,Filtrado,none,Abierto | Filtrado
569,Filtrado,none,Abierto | Filtrado
570,Filtrado,none,Abierto | Filtrado
571,Filtrado,none,Abierto | Filtrado
572,Filtrado,none,Abierto | Filtrado
573,Filtrado,none,Abierto | Filtrado
574,Filtrado,none,Abierto | Filtrado
575,Filtrado,none,Abierto | Filtrado
576,Filtrado,none,Abierto | Filtrado
577,Filtrado,none,Abierto | Filtrado
578,Filtrado,none,Abierto | Filtrado
579,Filtrado,none,Abierto | Filtrado
580,Filtrado,none,Abierto | Filtrado
