port,TCP,TCPflag,UDP
355,Filtrado,none,Cerrado
356,Filtrado,none,Cerrado
357,Filtrado,none,Cerrado
358,Filtrado,none,Cerrado
359,Filtrado,none,Cerrado
360,Filtrado,none,Cerrado
361,Filtrado,none,Cerrado
362,Filtrado,none,Cerrado
363,Filtrado,none,Cerrado
364,Filtrado,none,Cerrado
365,Filtrado,none,Cerrado
366,Filtrado,none,Cerrado
367,Filtrado,none,Cerrado
368,Filtrado,none,Cerrado
369,Filtrado,none,Cerrado
370,Filtrado,none,Cerrado
371,Filtrado,none,Cerrado
372,Filtrado,none,Cerrado
373,Filtrado,none,Cerrado
374,Filtrado,none,Cerrado
375,Filtrado,none,Cerrado
376,Filtrado,none,Cerrado
377,Filtrado,none,Cerrado
378,Filtrado,none,Cerrado
379,Filtrado,none,Cerrado
380,Filtrado,none,Cerrado
381,Filtrado,none,Cerrado
382,Filtrado,none,Cerrado
383,Filtrado,none,Cerrado
384,Filtrado,none,Cerrado
385,Filtrado,none,Cerrado
386,Filtrado,none,Cerrado
387,Filtrado,none,Cerrado
388,Filtrado,none,Cerrado
389,Filtrado,none,Cerrado
390,Filtrado,none,Cerrado
391,Filtrado,none,Cerrado
392,Filtrado,none,Cerrado
393,Filtrado,none,Cerrado
394,Filtrado,none,Cerrado
395,Filtrado,none,Cerrado
396,Filtrado,none,Cerrado
397,Filtrado,none,Cerrado
398,Filtrado,none,Cerrado
399,Filtrado,none,Cerrado
400,Filtrado,none,Cerrado
401,Filtrado,none,Cerrado
402,Filtrado,none,Cerrado
403,Filtrado,none,Cerrado
404,Filtrado,none,Cerrado
405,Filtrado,none,Cerrado
406,Filtrado,none,Cerrado
407,Filtrado,none,Cerrado
408,Filtrado,none,Cerrado
409,Filtrado,none,Cerrado
410,Filtrado,none,Cerrado
411,Filtrado,none,Cerrado
412,Filtrado,none,Cerrado
413,Filtrado,none,Cerrado
414,Filtrado,none,Cerrado
415,Filtrado,none,Cerrado
416,Filtrado,none,Cerrado
417,Filtrado,none,Cerrado
418,Filtrado,none,Cerrado
419,Filtrado,none,Cerrado
420,Filtrado,none,Cerrado
421,Filtrado,none,Cerrado
422,Filtrado,none,Cerrado
423,Filtrado,none,Cerrado
424,Filtrado,none,Cerrado
425,Filtrado,none,Cerrado
426,Filtrado,none,Cerrado
427,Filtrado,none,Cerrado
428,Filtrado,none,Cerrado
429,Filtrado,none,Cerrado
430,Filtrado,none,Cerrado
431,Filtrado,none,Cerrado
432,Filtrado,none,Cerrado
433,Filtrado,none,Cerrado
434,Filtrado,none,Cerrado
435,Filtrado,none,Cerrado
436,Filtrado,none,Cerrado
437,Filtrado,none,Cerrado
438,Filtrado,none,Cerrado
439,Filtrado,none,Cerrado
440,Filtrado,none,Cerrado
441,Filtrado,none,Cerrado
442,Filtrado,none,Cerrado
443,Filtrado,none,Cerrado
444,Filtrado,none,Cerrado
445,Filtrado,none,Cerrado
446,Filtrado,none,Cerrado
447,Filtrado,none,Cerrado
448,Filtrado,none,Cerrado
449,Filtrado,none,Cerrado
450,Filtrado,none,Cerrado
451,Filtrado,none,Cerrado
452,Filtrado,none,Cerrado
453,Filtrado,none,Cerrado
454,Filtrado,none,Cerrado
455,Filtrado,none,Cerrado
456,Filtrado,none,Cerrado
457,Filtrado,none,Cerrado
458,Filtrado,none,Cerrado
459,Filtrado,none,Cerrado
460,Filtrado,none,Cerrado
461,Filtrado,none,Cerrado
462,Filtrado,none,Cerrado
463,Filtrado,none,Cerrado
464,Filtrado,none,Cerrado
465,Filtrado,none,Cerrado
466,Filtrado,none,Cerrado
467,Filtrado,none,Cerrado
468,Filtrado,none,Cerrado
469,Filtrado,none,Cerrado
470,Filtrado,none,Cerrado
471,Filtrado,none,Cerrado
472,Filtrado,none,Cerrado
473,Filtrado,none,Cerrado
474,Filtrado,none,Cerrado
475,Filtrado,none,Cerrado
476,Filtrado,none,Cerrado
477,Filtrado,none,Cerrado
478,Filtrado,none,Cerrado
479,Filtrado,none,Cerrado
480,Filtrado,none,Cerrado
481,Filtrado,none,Cerrado
482,Filtrado,none,Cerrado
483,Filtrado,none,Cerrado
484,Filtrado,none,Cerrado
485,Filtrado,none,Cerrado
486,Filtrado,none,Cerrado
487,Filtrado,none,Cerrado
488,Filtrado,none,Cerrado
489,Filtrado,none,Cerrado
490,Filtrado,none,Cerrado
491,Filtrado,none,Cerrado
492,Filtrado,none,Cerrado
493,Filtrado,none,Cerrado
494,Filtrado,none,Cerrado
495,Filtrado,none,Cerrado
496,Filtrado,none,Cerrado
497,Filtrado,none,Cerrado
498,Filtrado,none,Cerrado
499,Filtrado,none,Cerrado
500,Filtrado,none,Abierto | Filtrado
501,Filtrado,none,Cerrado
502,Filtrado,none,Cerrado
503,Filtrado,none,Cerrado
504,Filtrado,none,Cerrado
505,Filtrado,none,Cerrado
506,Filtrado,none,Cerrado
507,Filtrado,none,Cerrado
508,Filtrado,none,Cerrado
509,Filtrado,none,Cerrado
510,Filtrado,none,Cerrado
511,Filtrado,none,Cerrado
512,Filtrado,none,Cerrado
513,Filtrado,none,Cerrado
514,Filtrado,none,Abierto | Filtrado
515,Filtrado,none,Cerrado
516,Filtrado,none,Cerrado
517,Filtrado,none,Cerrado
518,Filtrado,none,Cerrado
519,Filtrado,none,Cerrado
520,Filtrado,none,Abierto | Filtrado
521,Filtrado,none,Cerrado
522,Filtrado,none,Cerrado
523,Filtrado,none,Cerrado
524,Filtrado,none,Cerrado
525,Filtrado,none,Cerrado
526,Filtrado,none,Cerrado
527,Filtrado,none,Cerrado
528,Filtrado,none,Cerrado
529,Filtrado,none,Cerrado
530,Filtrado,none,Cerrado
531,Filtrado,none,Cerrado
532,Filtrado,none,Cerrado
533,Filtrado,none,Cerrado
534,Filtrado,none,Cerrado
535,Filtrado,none,Cerrado
536,Filtrado,none,Cerrado
537,Filtrado,none,Cerrado
538,Filtrado,none,Cerrado
539,Filtrado,none,Cerrado
